ID_Karyawan,Nama,NIK,Tanggal_Lahir,Alamat,Departemen,Jabatan,Gaji,Email,No_HP,Tanggal_Masuk,Status_Kerja,Atasan
EMP2000,"Ir. Septi Mulyani, S.Gz",2634883526066449,1970-12-23,"Gang Cikutra Barat No. 196, Padang, SG 73488",Pemasaran,Direktur,13132582,gunartobella@gmail.com,+62 (40) 855 8313,2024-07-23,Kontrak,Qori Sihombing
EMP2001,"Cahya Jailani, M.Pd",5573126879457062,1975-08-19,"Gang Pacuan Kuda No. 36, Lhokseumawe, PA 14952",Produksi,Supervisor,11613287,latuponolurhur@hotmail.com,+62 (0376) 472-4741,2019-06-22,Kontrak,Putri Purwanti
EMP2002,"Ir. Galang Rahmawati, M.Pd",8868932669066176,1973-04-20,"Gg. W.R. Supratman No. 92, Pangkalpinang, Kalimantan Utara 93312",Pemasaran,Manager,24222592,balamantri84@yahoo.com,(0404) 641-7093,2017-05-10,Kontrak,Cakrawala Waskita
EMP2003,Wasis Novitasari,4706749931215464,1977-01-31,"Gg. Jend. A. Yani No. 044, Madiun, Bengkulu 29296",Produksi,Staff,20385802,anitawidodo@ud.id,+62 (87) 466-4247,2022-10-04,Kontrak,Vanya Agustina
EMP2004,Tgk. Adika Mandasari,7517085822475733,2001-01-05,"Jalan Moch. Ramdan No. 0, Kota Administrasi Jakarta Timur, Kalimantan Utara 90392",Produksi,Direktur,7612600,hani65@gmail.com,+62 (0449) 423-9074,2019-05-06,Tetap,"Tgk. Lamar Mustofa, S.E.I"
EMP2005,Gaman Tampubolon,3182801044645393,1969-03-29,"Gg. Jend. Sudirman No. 027, Padangpanjang, Bengkulu 56299",IT,Staff,21603032,safinayuliarti@gmail.com,081 196 2515,2023-07-02,Magang,Ajimin Puspita
EMP2006,Humaira Anggriawan,7484975332798671,2004-07-29,"Gang BKR No. 2, Tanjungpinang, Jawa Timur 55412",Produksi,Staff,16105878,vhariyah@ud.or.id,+62 (848) 918-1304,2022-03-24,Kontrak,"Niyaga Riyanti, M.Pd"
EMP2007,Zulfa Prayoga,1435103343044246,1981-11-26,"Jl. S. Parman No. 516, Kota Administrasi Jakarta Selatan, JT 86199",Pemasaran,Manager,14245534,flaksita@yahoo.com,(0910) 038-9689,2025-09-04,Magang,"Hasna Wahyudin, S.H."
EMP2008,Tiara Safitri,7555011716890292,2005-09-17,"Gang Kutai No. 56, Kota Administrasi Jakarta Timur, Gorontalo 89019",Produksi,Supervisor,14047453,darunamaryadi@cv.go.id,+62-372-055-0123,2021-03-10,Magang,Dr. Endra Zulkarnain
EMP2009,"Yance Yulianti, S.Kom",4894344722503686,1983-11-18,"Jalan Moch. Toha No. 129, Tegal, Nusa Tenggara Timur 15415",IT,Supervisor,6026793,yuniargada@ud.biz.id,+62 (010) 276 4051,2023-11-24,Kontrak,Lamar Yuliarti
EMP2010,Dr. Ana Tamba,3050840535037016,1977-08-21,"Gang Monginsidi No. 015, Bandung, Kepulauan Bangka Belitung 33749",IT,Staff,4554594,dsiregar@pt.ponpes.id,+62-86-824-7204,2019-11-20,Tetap,Wulan Yuniar
EMP2011,Daliono Dongoran,7710008915170482,1979-05-26,"Jl. Cikutra Timur No. 7, Dumai, Maluku Utara 88113",Pemasaran,Direktur,12536326,laksmiwaticayadi@gmail.com,(084) 859 1438,2021-05-26,Kontrak,Asirwanda Laksita
EMP2012,Pia Halim,8117675794641170,1984-02-25,"Jalan Kutisari Selatan No. 4, Samarinda, KB 66690",Keuangan,Supervisor,20037627,msalahudin@pd.or.id,0854764268,2024-10-28,Tetap,Dasa Nashiruddin
EMP2013,Cinthia Hariyah,6162068251661144,1977-05-18,"Gang Moch. Ramdan No. 1, Tidore Kepulauan, SR 89406",Keuangan,Direktur,17228175,suryatmidaliono@yahoo.com,+62 (260) 299-0197,2019-03-21,Magang,"Najwa Purnawati, S.IP"
EMP2014,Ciaobella Astuti,9811353816519341,1993-12-03,"Gg. Joyoboyo No. 720, Tarakan, PB 28392",Produksi,Supervisor,24281689,wijayantigamanto@pt.go.id,+62 (925) 855 2978,2024-03-07,Tetap,Ihsan Halimah
EMP2015,Mahmud Situmorang,4219100154576791,1965-09-17,"Gang Otto Iskandardinata No. 953, Banda Aceh, NT 10824",HRD,Direktur,6204664,irma63@gmail.com,+62 (029) 838 1980,2025-09-06,Tetap,Among Winarno
EMP2016,H. Jatmiko Wijaya,1111485904058093,1968-04-04,"Gang Sukajadi No. 1, Jambi, Sumatera Selatan 21017",Produksi,Manager,8341747,danuja52@pd.ac.id,+62-048-584-3583,2021-10-16,Tetap,Ika Kurniawan
EMP2017,"Daruna Hariyah, S.Pd",3415017923565435,1988-10-09,"Gg. W.R. Supratman No. 3, Gorontalo, PB 01918",Pemasaran,Direktur,16956528,omarhalimah@yahoo.com,0846795097,2025-08-31,Magang,"dr. Nova Oktaviani, M.Farm"
EMP2018,Cut Hesti Irawan,1356099385750701,1982-01-15,"Gang Laswi No. 191, Langsa, Kepulauan Bangka Belitung 82292",Pemasaran,Manager,21464192,umegantara@gmail.com,0890498110,2023-06-22,Magang,"KH. Kurnia Mangunsong, S.Pd"
EMP2019,Keisha Sitompul,3843054736809942,1995-07-21,"Gang Cikutra Timur No. 0, Banjarmasin, Jawa Tengah 13811",Pemasaran,Manager,23249405,permataedward@yahoo.com,+62-43-064-4509,2018-08-18,Tetap,Lurhur Najmudin
EMP2020,"drg. Salimah Lailasari, M.Ak",3466635422743668,1966-11-25,"Jalan Gedebage Selatan No. 0, Metro, Lampung 52783",Pemasaran,Direktur,19487428,najmudinsetya@gmail.com,+62-078-340-6803,2017-07-01,Tetap,Gamani Hidayanto
EMP2021,Prasetya Mayasari,1885163834233215,1992-12-12,"Jalan Dipatiukur No. 54, Malang, AC 98907",Pemasaran,Manager,12506404,siska35@ud.id,+62 (050) 421-0397,2020-04-04,Kontrak,"Halima Wasita, S.Pt"
EMP2022,Ajeng Sinaga,2713875703535383,1988-12-07,"Jl. Ir. H. Djuanda No. 601, Padang Sidempuan, KS 30184",IT,Staff,5241082,fhandayani@yahoo.com,(021) 050 0451,2016-08-18,Tetap,Yessi Wibisono
EMP2023,Pia Mangunsong,1122791406924703,1976-10-25,"Jalan Erlangga No. 6, Singkawang, Sumatera Barat 51466",Keuangan,Manager,9184502,prasetyo94@pt.or.id,+62 (0257) 194 1040,2018-04-22,Kontrak,"Emong Sinaga, S.Sos"
EMP2024,"drg. Diana Farida, S.IP",2250797789264384,1971-11-03,"Gang Moch. Toha No. 90, Bandar Lampung, Maluku Utara 15688",Pemasaran,Supervisor,17281288,mahendraerik@gmail.com,+62-006-161-4677,2023-08-12,Tetap,Garang Prastuti
EMP2025,Putri Wibisono,3796521857586411,1994-04-21,"Jl. Erlangga No. 569, Kotamobagu, Kalimantan Utara 36868",HRD,Direktur,16503247,budiyantoraden@hotmail.com,087 253 2337,2024-10-20,Kontrak,Hj. Wirda Januar
